English,Spanish
you,tú
i,i
the,el
to,a
a,a
s,s
it,él
and,y
that,eso
t,el
of,de
is,es
in,en
what,qué
we,nosotros
me,a mí
this,este
he,él
for,para
my,mi
on,en
have,tener
your,su
do,hacer
was,era
m,metro
no,No
not,no
be,ser
are,son
don,don
re,re
know,saber
can,poder
with,con
but,pero
all,todo
so,entonces
just,justo
there,allá
here,aquí
they,ellos
like,como
ll,todos
get,conseguir
she,ella
go,ir
if,si
right,bien
out,afuera
about,acerca de
up,arriba
at,en
him,a él
now,ahora
oh,Vaya
one,uno
come,venir
well,Bueno
her,su
how,cómo
yeah,sí
ve,ve
will,voluntad
got,consiguió
want,desear
think,pensar
as,como
see,ver
did,hizo
good,bien
who,OMS
why,por qué
from,de
let,dejar
his,su
yes,Sí
when,cuando
going,yendo
time,tiempo
an,un
okay,bueno
back,atrás
look,mirar
us,a nosotros
would,quería
them,a ellos
where,dónde
were,eran
take,llevar
then,entonces
had,tenía
or,o
been,estado
our,nuestro
gonna,ir a
tell,decir
really,en realidad
man,hombre
some,alguno